2025-05-20 23:22:32,448 - INFO - ClassifierKellyBacktest.main_backtest_loop:304 - Logging for session 25MAY11_17 to: /Users/omarabul-hassan/Desktop/projects/kalshi/notebooks/logs/classifier_kelly_backtests/backtest_LogRegKelly_25MAY11_17_20250520_232215.txt
2025-05-20 23:22:32,448 - INFO - utils.clear_binance_cache:41 - Utils: All Binance data caches cleared.
2025-05-20 23:22:32,448 - INFO - utils.clear_kalshi_cache:46 - Utils: Kalshi market minute data cache cleared.
2025-05-20 23:22:32,448 - INFO - ClassifierKellyBacktest.main_backtest_loop:325 -   Session 25MAY11_17: Pre-loading Binance data from 2025-05-10 18:00 to 2025-05-11 22:00
2025-05-20 23:22:32,449 - INFO - utils.load_and_prepare_binance_range_with_features:192 - Utils: Preparing Binance data with features for range: 2025-05-10 to 2025-05-11
2025-05-20 23:22:32,460 - INFO - utils.load_and_prepare_binance_range_with_features:222 - Utils: Calculating TA features on combined Binance data (5760 rows)...
2025-05-20 23:22:32,462 - INFO - utils.load_and_prepare_binance_range_with_features:237 - Utils: Binance features calculated and cached for the requested range 2025-05-10 to 2025-05-11.
2025-05-20 23:22:32,462 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:112 - --- Starting Backtest for Session: 25MAY11_17 ---
2025-05-20 23:22:42,978 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:31 | P(YES):0.818 P(YES):0.818 | BUY_YES x1@60c (B:53,A:60) | Outcome:YES | PNL:40c | Cap:$20.49
2025-05-20 23:22:42,979 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:32 | P(YES):0.825 P(YES):0.825 | BUY_YES x1@61c (B:53,A:61) | Outcome:YES | PNL:39c | Cap:$20.88
2025-05-20 23:22:42,981 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:34 | P(YES):0.822 P(YES):0.822 | BUY_YES x1@60c (B:53,A:60) | Outcome:YES | PNL:40c | Cap:$21.28
2025-05-20 23:22:42,982 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:35 | P(YES):0.822 P(YES):0.822 | BUY_YES x1@61c (B:53,A:61) | Outcome:YES | PNL:39c | Cap:$21.67
2025-05-20 23:22:42,983 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:36 | P(YES):0.830 P(YES):0.830 | BUY_YES x2@61c (B:53,A:61) | Outcome:YES | PNL:78c | Cap:$22.45
2025-05-20 23:22:42,985 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:38 | P(YES):0.813 P(YES):0.813 | BUY_YES x2@59c (B:51,A:59) | Outcome:YES | PNL:82c | Cap:$23.27
2025-05-20 23:22:42,989 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:42 | P(YES):0.804 P(YES):0.804 | BUY_YES x2@59c (B:51,A:59) | Outcome:YES | PNL:82c | Cap:$24.09
2025-05-20 23:22:42,991 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:43 | P(YES):0.801 P(YES):0.801 | BUY_YES x2@59c (B:51,A:59) | Outcome:YES | PNL:82c | Cap:$24.91
2025-05-20 23:22:42,993 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:45 | P(YES):0.809 P(YES):0.809 | BUY_YES x2@59c (B:51,A:59) | Outcome:YES | PNL:82c | Cap:$25.73
2025-05-20 23:22:42,996 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:48 | P(YES):0.803 P(YES):0.803 | BUY_YES x2@59c (B:51,A:59) | Outcome:YES | PNL:82c | Cap:$26.55
2025-05-20 23:22:42,997 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:49 | P(YES):0.811 P(YES):0.811 | BUY_YES x2@60c (B:51,A:60) | Outcome:YES | PNL:80c | Cap:$27.35
2025-05-20 23:22:42,998 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:50 | P(YES):0.809 P(YES):0.809 | BUY_YES x2@60c (B:51,A:60) | Outcome:YES | PNL:80c | Cap:$28.15
2025-05-20 23:22:42,999 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:51 | P(YES):0.801 P(YES):0.801 | BUY_YES x2@58c (B:51,A:58) | Outcome:YES | PNL:84c | Cap:$28.99
2025-05-20 23:22:43,000 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:52 | P(YES):0.803 P(YES):0.803 | BUY_YES x2@59c (B:51,A:59) | Outcome:YES | PNL:82c | Cap:$29.81
2025-05-20 23:22:43,001 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:53 | P(YES):0.804 P(YES):0.804 | BUY_YES x2@59c (B:51,A:59) | Outcome:YES | PNL:82c | Cap:$30.63
2025-05-20 23:22:43,003 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:54 | P(YES):0.806 P(YES):0.806 | BUY_YES x2@60c (B:51,A:60) | Outcome:YES | PNL:80c | Cap:$31.43
2025-05-20 23:22:43,005 - INFO - ClassifierKellyBacktest.run_hourly_session_backtest:215 - TRADE: KXBTCD-25MAY1117-T103999.99 @ 04:56 | P(YES):0.806 P(YES):0.806 | BUY_YES x2@59c (B:51,A:59) | Outcome:YES | PNL:82c | Cap:$32.25
