2025-05-22 02:44:39,163 - INFO - Backtest_Logistic Regression_CalV2_15m.main_backtest_loop:450 - Processing session 25MAY12_10 (detailed logs will be in: session_25MAY12_10_logistic_regression_20250522_024427.log)
2025-05-22 02:44:39,163 - INFO - utils.clear_binance_cache:53 - Utils: All Binance data caches cleared.
2025-05-22 02:44:39,163 - INFO - utils.clear_kalshi_cache:58 - Utils: Kalshi market minute data cache cleared.
2025-05-22 02:44:39,163 - INFO - Backtest_Logistic Regression_CalV2_15m.main_backtest_loop:471 -   Session 25MAY12_10: Binance data range for TA features: 2025-05-12 11:00 to 2025-05-12 15:00
2025-05-22 02:44:39,163 - INFO - utils.load_and_prepare_binance_range_with_features:197 - Utils: Preparing Binance data with features for range: 2025-05-12 to 2025-05-12
2025-05-22 02:44:39,169 - INFO - utils.load_and_prepare_binance_range_with_features:226 - Utils: Calculating TA features on combined Binance data (4320 rows)...
2025-05-22 02:44:39,172 - INFO - utils.load_and_prepare_binance_range_with_features:240 - Utils: Binance features calculated and cached for the requested range 2025-05-12 to 2025-05-12.
2025-05-22 02:44:39,173 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:156 - --- Starting Backtest for Session: 25MAY12_10 ---
2025-05-22 02:44:39,913 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:40 | P(YES):0.917 P(YES):0.917 | BUY_YES x8@77c (Exec B:73, Exec A:77) | Outcome:YES | PNL:184c | Cap:$198.91
2025-05-22 02:44:39,916 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:42 | P(YES):0.931 P(YES):0.931 | BUY_YES x7@82c (Exec B:76, Exec A:82) | Outcome:YES | PNL:126c | Cap:$200.17
2025-05-22 02:44:39,919 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:43 | P(YES):0.923 P(YES):0.923 | BUY_YES x16@50c (Exec B:47, Exec A:50) | Outcome:YES | PNL:800c | Cap:$208.17
2025-05-22 02:44:39,920 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:44 | P(YES):0.872 P(YES):0.872 | BUY_YES x11@61c (Exec B:57, Exec A:61) | Outcome:YES | PNL:429c | Cap:$212.46
2025-05-22 02:44:39,922 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103749.99 @ 13:45 | P(YES):0.884 P(YES):0.884 | BUY_YES x12@60c (Exec B:55, Exec A:60) | Outcome:YES | PNL:480c | Cap:$217.26
2025-05-22 02:44:40,033 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:13 | P(YES):0.891 P(YES):0.891 | BUY_YES x10@68c (Exec B:67, Exec A:68) | Outcome:YES | PNL:320c | Cap:$220.46
2025-05-22 02:44:40,035 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:14 | P(YES):0.918 P(YES):0.918 | BUY_YES x12@66c (Exec B:64, Exec A:66) | Outcome:YES | PNL:408c | Cap:$224.54
2025-05-22 02:44:40,037 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:15 | P(YES):0.924 P(YES):0.924 | BUY_YES x12@68c (Exec B:62, Exec A:68) | Outcome:YES | PNL:384c | Cap:$228.38
2025-05-22 02:44:40,039 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:16 | P(YES):0.929 P(YES):0.929 | BUY_YES x10@75c (Exec B:70, Exec A:75) | Outcome:YES | PNL:250c | Cap:$230.88
2025-05-22 02:44:40,041 - INFO - Backtest_Logistic Regression_CalV2_15m.run_hourly_session_backtest:323 - TRADE: KXBTCD-25MAY1210-T103999.99 @ 13:17 | P(YES):0.940 P(YES):0.940 | BUY_YES x11@75c (Exec B:69, Exec A:75) | Outcome:YES | PNL:275c | Cap:$233.63
