decision_timestamp_utc,market_ticker,kalshi_strike_price,predicted_proba_yes,model_prob_chosen_side,kalshi_yes_bid_at_decision_t,kalshi_yes_ask_at_decision_t,executed_trade_action,num_contracts_sim,simulated_entry_price_cents,pnl_cents,actual_market_result,capital_after_trade
2025-05-20T21:05:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.8531,,91.0,96.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:06:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.8865,,91.0,95.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:07:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.8582,,87.0,92.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:08:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.8627,,87.0,92.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:09:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.8698,,,,NO_TRADE,0,,,yes,533.47
2025-05-20T21:10:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.882,,89.0,93.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:11:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.8384,,79.0,82.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:12:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.6647,,63.0,68.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:13:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.4563,,58.0,62.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:14:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.4423,,64.0,70.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:15:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.3921,,51.0,56.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:16:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.3821,,60.0,65.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:17:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.4368,,66.0,72.0,NO_TRADE,0,,,yes,533.47
2025-05-20T21:18:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,0.4311,,66.0,71.0,NO_TRADE,0,,,yes,533.47
