decision_timestamp_utc,market_ticker,kalshi_strike_price,predicted_proba_yes,model_prob_chosen_side,kalshi_yes_bid_at_decision_t,kalshi_yes_ask_at_decision_t,executed_trade_action,num_contracts_sim,simulated_entry_price_cents,pnl_cents,actual_market_result,session_capital_after_trade
2025-05-12T12:03:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9394,0.9394,73.0,79.0,BUY_YES,5,79.0,105.0,yes,122.91
2025-05-12T12:04:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9428,0.9428,73.0,77.0,BUY_YES,5,77.0,115.0,yes,124.06
2025-05-12T12:05:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9423,0.9423,74.0,80.0,BUY_YES,5,80.0,100.0,yes,125.06
2025-05-12T12:06:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9405,0.9405,69.0,74.0,BUY_YES,6,74.0,156.0,yes,126.62
2025-05-12T12:07:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9353,0.9353,75.0,80.0,BUY_YES,5,80.0,100.0,yes,127.62
2025-05-12T12:08:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9431,0.9431,76.0,79.0,BUY_YES,5,79.0,105.0,yes,128.67
2025-05-12T12:09:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9472,0.9472,76.0,80.0,BUY_YES,5,80.0,100.0,yes,129.67
2025-05-12T12:10:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9494,0.9494,80.0,83.0,BUY_YES,5,83.0,85.0,yes,130.52
2025-05-12T12:11:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9585,0.9585,81.0,84.0,BUY_YES,5,84.0,80.0,yes,131.32
2025-05-12T12:12:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9569,,81.0,86.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,131.32
2025-05-12T12:13:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9586,,81.0,86.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,131.32
2025-05-12T12:14:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9591,0.9591,77.0,82.0,BUY_YES,6,82.0,108.0,yes,132.4
2025-05-12T12:15:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.957,,83.0,89.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,132.4
2025-05-12T12:16:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.961,0.961,79.0,85.0,BUY_YES,5,85.0,75.0,yes,133.15
2025-05-12T12:17:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9554,0.9554,78.0,84.0,BUY_YES,5,84.0,80.0,yes,133.95
2025-05-12T12:18:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9546,0.9546,80.0,85.0,BUY_YES,5,85.0,75.0,yes,134.7
2025-05-12T12:19:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9566,0.9566,80.0,84.0,BUY_YES,5,84.0,80.0,yes,135.5
2025-05-12T12:20:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9562,0.9562,80.0,85.0,BUY_YES,5,85.0,75.0,yes,136.25
2025-05-12T12:21:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9549,0.9549,78.0,83.0,BUY_YES,6,83.0,102.0,yes,137.27
2025-05-12T12:22:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9555,,84.0,87.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:23:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9625,,88.0,91.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:24:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.969,,90.0,91.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:25:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9704,,90.0,93.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:26:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9724,,89.0,92.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:27:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9727,,91.0,94.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:28:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9742,,93.0,95.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:29:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9759,,93.0,94.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:30:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9758,,93.0,94.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:31:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9738,,88.0,91.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:32:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9704,,89.0,92.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:33:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9721,,92.0,95.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:34:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9752,,94.0,97.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:35:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9763,,95.0,97.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:36:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9765,,95.0,97.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:37:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9767,,95.0,98.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:38:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9779,,95.0,99.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:39:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.978,,96.0,98.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:40:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9775,,96.0,99.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:41:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9776,,95.0,98.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:42:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9767,,96.0,99.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:43:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9776,,98.0,99.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:44:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9789,,98.0,99.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:45:00+00:00,KXBTCD-25MAY1209-T103499.99,103499.99,0.9794,,97.0,99.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:00:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.8427,,,,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:01:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.8459,,93.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:02:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9875,,93.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:03:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9875,,93.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:04:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9874,,93.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:05:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9876,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:06:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9872,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:07:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9879,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:08:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9878,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:09:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9881,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:10:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9887,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
2025-05-12T12:11:00+00:00,KXBTCD-25MAY1209-T101499.99,101499.99,0.9889,,96.0,100.0,NO_TRADE_THRESHOLD_NOT_MET,0,,,yes,137.27
