2025-05-21 17:18:01,396 - INFO - Backtest_random_forest_CalV2_15m.main_backtest_loop:349 - Processing session 25MAY12_17 (logs: session_25MAY12_17_random_forest_20250521_170924.log)
2025-05-21 17:18:01,397 - INFO - utils.clear_binance_cache:53 - Utils: All Binance data caches cleared.
2025-05-21 17:18:01,397 - INFO - utils.clear_kalshi_cache:58 - Utils: Kalshi market minute data cache cleared.
2025-05-21 17:18:01,397 - INFO - Backtest_random_forest_CalV2_15m.main_backtest_loop:370 -   Session 25MAY12_17: Binance data range for TA: 2025-05-11 18:00 to 2025-05-12 22:00
2025-05-21 17:18:01,397 - INFO - utils.load_and_prepare_binance_range_with_features:197 - Utils: Preparing Binance data with features for range: 2025-05-11 to 2025-05-12
2025-05-21 17:18:01,405 - INFO - utils.load_and_prepare_binance_range_with_features:226 - Utils: Calculating TA features on combined Binance data (5760 rows)...
2025-05-21 17:18:01,409 - INFO - utils.load_and_prepare_binance_range_with_features:240 - Utils: Binance features calculated and cached for the requested range 2025-05-11 to 2025-05-12.
2025-05-21 17:18:01,409 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:110 - --- Starting Backtest for Session: 25MAY12_17 ---
2025-05-21 17:18:15,899 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:46 | P(YES):0.673 P(YES):0.673 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$276.25
2025-05-21 17:18:15,942 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:47 | P(YES):0.682 P(YES):0.682 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$272.40
2025-05-21 17:18:15,981 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:48 | P(YES):0.684 P(YES):0.684 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$268.55
2025-05-21 17:18:16,022 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:49 | P(YES):0.685 P(YES):0.685 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$264.70
2025-05-21 17:18:16,063 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:50 | P(YES):0.682 P(YES):0.682 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$260.85
2025-05-21 17:18:16,106 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:51 | P(YES):0.684 P(YES):0.684 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$257.00
2025-05-21 17:18:16,147 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:52 | P(YES):0.683 P(YES):0.683 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$253.70
2025-05-21 17:18:16,273 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:55 | P(YES):0.683 P(YES):0.683 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$250.40
2025-05-21 17:18:16,315 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:56 | P(YES):0.683 P(YES):0.683 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$247.10
2025-05-21 17:18:16,357 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:57 | P(YES):0.688 P(YES):0.688 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$243.80
2025-05-21 17:18:16,398 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:58 | P(YES):0.679 P(YES):0.679 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$240.50
2025-05-21 17:18:16,440 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:59 | P(YES):0.680 P(YES):0.680 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$237.20
