timestamp_utc_end_of_period,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
2025-05-15 03:24:00+00:00,,,,,47,49,40,44,54,56,47,50,0,1361
2025-05-15 03:25:00+00:00,56.0,56.0,56.0,56.0,44,52,39,52,50,58,46,58,3,1364
2025-05-15 03:26:00+00:00,54.0,54.0,51.0,51.0,52,52,47,51,58,58,54,56,106,1328
2025-05-15 03:27:00+00:00,51.0,51.0,51.0,51.0,51,52,42,50,56,58,49,55,5,1328
2025-05-15 03:28:00+00:00,45.0,45.0,45.0,45.0,50,50,39,45,55,55,48,50,3,1328
2025-05-15 03:29:00+00:00,,,,,45,46,36,38,50,52,43,44,0,1328
2025-05-15 03:30:00+00:00,45.0,45.0,45.0,45.0,38,38,34,38,44,46,42,45,1,1329
2025-05-15 03:31:00+00:00,44.0,44.0,44.0,44.0,38,41,28,31,45,46,36,37,10,1339
2025-05-15 03:32:00+00:00,,,,,31,48,28,45,37,52,35,51,0,1339
2025-05-15 03:33:00+00:00,,,,,45,45,28,29,51,51,35,35,0,1339
2025-05-15 03:34:00+00:00,21.0,23.0,21.0,23.0,29,30,21,29,35,38,25,35,19,1330
2025-05-15 03:35:00+00:00,27.0,31.0,27.0,31.0,29,34,21,25,35,42,27,30,432,1762
2025-05-15 03:36:00+00:00,25.0,31.0,25.0,31.0,25,25,19,19,30,32,23,25,92,1818
2025-05-15 03:37:00+00:00,25.0,25.0,17.0,19.0,19,21,14,19,25,28,23,25,64,1876
2025-05-15 03:38:00+00:00,,,,,19,29,14,29,25,35,21,35,0,1876
2025-05-15 03:39:00+00:00,37.0,37.0,28.0,28.0,29,37,28,28,35,41,33,33,63,1896
2025-05-15 03:40:00+00:00,33.0,33.0,33.0,33.0,28,34,24,27,33,36,31,31,283,2179
2025-05-15 03:41:00+00:00,24.0,26.0,20.0,26.0,27,29,14,16,31,31,21,22,45,2222
2025-05-15 03:42:00+00:00,16.0,16.0,12.0,12.0,16,16,10,11,22,24,15,15,211,2291
2025-05-15 03:43:00+00:00,15.0,15.0,15.0,15.0,11,13,8,11,15,22,14,15,1,2292
2025-05-15 03:44:00+00:00,15.0,23.0,15.0,23.0,11,17,11,17,15,23,15,23,1149,3387
2025-05-15 03:45:00+00:00,19.0,19.0,19.0,19.0,17,17,8,12,23,23,15,15,498,3885
2025-05-15 03:46:00+00:00,7.0,7.0,5.0,5.0,12,12,3,4,15,15,8,9,26,3885
2025-05-15 03:47:00+00:00,5.0,10.0,5.0,9.0,4,5,1,5,9,12,5,7,1213,5098
2025-05-15 03:48:00+00:00,,,,,5,8,5,8,7,13,7,12,0,5098
2025-05-15 03:49:00+00:00,8.0,8.0,5.0,5.0,8,9,1,9,12,14,7,13,60,5108
2025-05-15 03:50:00+00:00,15.0,15.0,12.0,14.0,9,14,6,14,13,18,13,17,35,5109
2025-05-15 03:51:00+00:00,13.0,13.0,13.0,13.0,14,14,2,8,17,18,9,10,325,5109
2025-05-15 03:52:00+00:00,10.0,12.0,9.0,9.0,8,14,6,9,10,15,10,13,540,5019
2025-05-15 03:53:00+00:00,13.0,13.0,10.0,10.0,9,12,3,4,13,15,10,10,830,5579
2025-05-15 03:54:00+00:00,1.0,1.0,1.0,1.0,4,4,0,0,10,10,3,7,9,5579
2025-05-15 03:55:00+00:00,,,,,0,0,0,0,7,7,4,4,0,5579
2025-05-15 03:56:00+00:00,4.0,4.0,4.0,4.0,0,0,0,0,4,4,4,4,10,5579
2025-05-15 03:57:00+00:00,,,,,0,0,0,0,4,4,1,1,0,5579
2025-05-15 03:58:00+00:00,,,,,0,0,0,0,1,1,1,1,0,5579
2025-05-15 03:59:00+00:00,1.0,1.0,1.0,1.0,0,0,0,0,1,1,1,1,10,5579
2025-05-15 04:00:00+00:00,,,,,0,0,0,0,1,1,1,1,0,5579
