market_ticker,result,event_resolution_time_iso
KXBTCD-25MAY1515-T99749.99,yes,
KXBTCD-25MAY1515-T99499.99,yes,
KXBTCD-25MAY1515-T99249.99,yes,
KXBTCD-25MAY1515-T98999.99,yes,
KXBTCD-25MAY1515-T98749.99,yes,
KXBTCD-25MAY1515-T98499.99,yes,
KXBTCD-25MAY1515-T98249.99,yes,
KXBTCD-25MAY1515-T97999.99,yes,
KXBTCD-25MAY1515-T97749.99,yes,
KXBTCD-25MAY1515-T97499.99,yes,
KXBTCD-25MAY1515-T97249.99,yes,
KXBTCD-25MAY1515-T96999.99,yes,
KXBTCD-25MAY1515-T96749.99,yes,
KXBTCD-25MAY1515-T96499.99,yes,
KXBTCD-25MAY1515-T96249.99,yes,
KXBTCD-25MAY1515-T100249.99,yes,
KXBTCD-25MAY1515-T95999.99,yes,
KXBTCD-25MAY1515-T95749.99,yes,
KXBTCD-25MAY1515-T95499.99,yes,
KXBTCD-25MAY1515-T95249.99,yes,
KXBTCD-25MAY1515-T94999.99,yes,
KXBTCD-25MAY1515-T94749.99,yes,
KXBTCD-25MAY1515-T94499.99,yes,
KXBTCD-25MAY1515-T94249.99,yes,
KXBTCD-25MAY1515-T93999.99,yes,
KXBTCD-25MAY1515-T93749.99,yes,
KXBTCD-25MAY1514-T112249.99,no,
KXBTCD-25MAY1514-T111999.99,no,
KXBTCD-25MAY1514-T111749.99,no,
KXBTCD-25MAY1514-T111499.99,no,
KXBTCD-25MAY1514-T111249.99,no,
KXBTCD-25MAY1514-T110999.99,no,
KXBTCD-25MAY1514-T110749.99,no,
KXBTCD-25MAY1514-T110499.99,no,
KXBTCD-25MAY1514-T110249.99,no,
KXBTCD-25MAY1514-T109999.99,no,
KXBTCD-25MAY1514-T109749.99,no,
KXBTCD-25MAY1514-T109499.99,no,
KXBTCD-25MAY1514-T109249.99,no,
KXBTCD-25MAY1514-T108999.99,no,
KXBTCD-25MAY1514-T108749.99,no,
KXBTCD-25MAY1514-T108499.99,no,
KXBTCD-25MAY1514-T108249.99,no,
KXBTCD-25MAY1514-T107999.99,no,
KXBTCD-25MAY1514-T107749.99,no,
KXBTCD-25MAY1514-T107499.99,no,
KXBTCD-25MAY1514-T107249.99,no,
KXBTCD-25MAY1514-T106999.99,no,
KXBTCD-25MAY1514-T106749.99,no,
KXBTCD-25MAY1514-T106499.99,no,
KXBTCD-25MAY1514-T106249.99,no,
KXBTCD-25MAY1514-T105999.99,no,
KXBTCD-25MAY1514-T105749.99,no,
KXBTCD-25MAY1514-T105499.99,no,
