trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents,contracts_traded,actual_outcome_target,pnl_cents
2025-05-20T21:33:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776780,27.00,BUY_NO,0.0664,93,1,0,7
2025-05-20T21:33:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747776780,27.00,BUY_NO,0.1165,88,1,0,12
2025-05-20T21:33:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747776780,27.00,BUY_NO,0.2421,75,1,0,25
2025-05-20T21:34:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747776840,26.00,BUY_NO,0.1051,89,1,0,11
2025-05-20T21:34:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776840,26.00,BUY_NO,0.0679,93,1,0,7
2025-05-20T21:34:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747776840,26.00,BUY_NO,0.2026,79,1,0,21
2025-05-20T21:35:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747776900,25.00,BUY_NO,0.2403,75,1,0,25
2025-05-20T21:35:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747776900,25.00,BUY_NO,0.1060,89,1,0,11
2025-05-20T21:35:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776900,25.00,BUY_NO,0.0684,93,1,0,7
2025-05-20T21:36:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747776960,24.00,BUY_NO,0.3085,69,1,0,31
2025-05-20T21:36:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776960,24.00,BUY_NO,0.0989,90,1,0,10
2025-05-20T21:36:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747776960,24.00,BUY_NO,0.0979,90,1,0,10
2025-05-20T21:36:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747776960,24.00,BUY_YES,0.6511,65,1,1,35
2025-05-20T21:37:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777020,23.00,BUY_NO,0.2213,77,1,0,23
2025-05-20T21:37:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747777020,23.00,BUY_NO,0.0619,93,1,0,7
2025-05-20T21:37:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777020,23.00,BUY_NO,0.0833,91,1,0,9
2025-05-20T21:38:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777080,22.00,BUY_NO,0.1901,80,1,0,20
2025-05-20T21:38:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777080,22.00,BUY_NO,0.1086,89,1,0,11
2025-05-20T21:39:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777140,21.00,BUY_NO,0.2040,79,1,0,21
2025-05-20T21:39:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777140,21.00,BUY_NO,0.1253,87,1,0,13
2025-05-20T21:40:00+00:00,KXBTCD-25MAY2018-T106749.99,106749.99,1747778400,1747777200,20.00,BUY_NO,0.2238,77,1,0,23
2025-05-20T21:40:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777200,20.00,BUY_NO,0.0578,94,1,0,6
2025-05-20T21:40:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777200,20.00,BUY_YES,0.6182,61,1,1,39
2025-05-20T21:41:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777260,19.00,BUY_NO,0.0570,94,1,0,6
