timestamp,market_ticker,type,yes_bid_price_cents,yes_bid_qty,yes_ask_price_cents,yes_ask_qty_on_no_side,sequence_num,delta_side,delta_price_cents,delta_quantity
2025-05-22T17:26:09.625637,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,14,7144,no,82,-1000
2025-05-22T17:26:09.664391,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,16,14,7145,yes,12,1000
2025-05-22T17:26:09.664927,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,16,14,7146,no,80,2000
2025-05-22T17:26:09.665304,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,16,14,7147,yes,9,2000
2025-05-22T17:26:09.724445,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,16,14,7148,no,83,1000
2025-05-22T17:26:09.969923,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,16,14,7149,yes,10,100
2025-05-22T17:26:09.970405,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,16,14,7150,no,82,100
2025-05-22T17:26:11.445410,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,16,14,7151,yes,10,-100
2025-05-22T17:26:11.645956,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,16,14,7152,no,80,-1250
2025-05-22T17:26:11.685749,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,16,14,7153,no,81,1250
2025-05-22T17:26:12.526229,KXBTCD-25MAY2221-T111999.99,DELTA,12,1140,16,14,7154,yes,9,-2000
2025-05-22T17:26:12.545482,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,14,7155,yes,12,-1000
2025-05-22T17:26:12.546023,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,14,7156,yes,10,-1250
2025-05-22T17:26:12.565241,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,14,7157,no,80,-2000
2025-05-22T17:26:12.565558,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,14,7158,no,83,-1000
2025-05-22T17:26:12.585411,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,14,7159,no,81,-1250
2025-05-22T17:26:12.645846,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,14,7160,yes,9,-400
2025-05-22T17:26:12.646674,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7161,no,84,1000
2025-05-22T17:26:12.647179,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7162,yes,8,2000
2025-05-22T17:26:12.647458,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7163,no,81,2000
2025-05-22T17:26:12.647697,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7164,no,82,1250
2025-05-22T17:26:12.647851,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7165,yes,11,1000
2025-05-22T17:26:12.665251,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7166,yes,8,500
2025-05-22T17:26:12.685289,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7167,yes,9,1250
2025-05-22T17:26:12.746066,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7168,yes,11,100
2025-05-22T17:26:13.045144,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7169,yes,10,-250
2025-05-22T17:26:13.086003,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7170,yes,8,-2000
2025-05-22T17:26:13.086664,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7171,yes,11,-1000
2025-05-22T17:26:13.104717,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7172,yes,9,-1250
2025-05-22T17:26:13.105560,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7173,no,81,-2000
2025-05-22T17:26:13.124686,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,16,1014,7174,no,82,-1250
2025-05-22T17:26:13.144202,KXBTCD-25MAY2221-T111999.99,DELTA,11,100,16,1014,7175,yes,12,-140
2025-05-22T17:26:13.185427,KXBTCD-25MAY2221-T111999.99,DELTA,11,100,16,1014,7176,yes,7,2000
2025-05-22T17:26:13.185829,KXBTCD-25MAY2221-T111999.99,DELTA,11,100,16,1014,7177,yes,8,1250
2025-05-22T17:26:13.186356,KXBTCD-25MAY2221-T111999.99,DELTA,11,100,16,1014,7178,no,83,1250
2025-05-22T17:26:13.205206,KXBTCD-25MAY2221-T111999.99,DELTA,11,100,16,1014,7179,no,82,2000
2025-05-22T17:26:13.205951,KXBTCD-25MAY2221-T111999.99,DELTA,11,100,16,1014,7180,yes,9,1000
2025-05-22T17:26:13.224742,KXBTCD-25MAY2221-T111999.99,DELTA,11,240,16,1014,7181,yes,11,140
2025-05-22T17:26:13.464280,KXBTCD-25MAY2221-T111999.99,DELTA,11,240,16,1014,7182,yes,8,-500
2025-05-22T17:26:13.484725,KXBTCD-25MAY2221-T111999.99,DELTA,11,240,16,1014,7183,no,81,-500
2025-05-22T17:26:13.577238,KXBTCD-25MAY2221-T111999.99,DELTA,11,240,16,1014,7184,yes,7,500
2025-05-22T17:26:13.577723,KXBTCD-25MAY2221-T111999.99,DELTA,11,240,16,1014,7185,no,83,500
2025-05-22T17:26:14.171489,KXBTCD-25MAY2221-T111999.99,DELTA,11,240,16,1264,7186,no,84,250
2025-05-22T17:26:14.171940,KXBTCD-25MAY2221-T111999.99,DELTA,11,240,16,1264,7187,no,74,-250
2025-05-22T17:26:14.271832,KXBTCD-25MAY2221-T111999.99,DELTA,11,240,16,264,7188,no,84,-1000
2025-05-22T17:26:14.304755,KXBTCD-25MAY2221-T111999.99,DELTA,11,240,15,1000,7189,no,85,1000
2025-05-22T17:26:15.565154,KXBTCD-25MAY2221-T111999.99,DELTA,11,240,13,32,7190,no,87,32
2025-05-22T17:26:15.685387,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7191,yes,11,-100
2025-05-22T17:26:15.706569,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7192,no,82,-100
2025-05-22T17:26:17.065258,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7193,yes,7,-2000
2025-05-22T17:26:17.065424,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7194,yes,9,-1000
2025-05-22T17:26:17.084929,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7195,yes,8,-1250
2025-05-22T17:26:17.085126,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7196,no,82,-2000
2025-05-22T17:26:17.104022,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7197,no,83,-500
2025-05-22T17:26:17.104177,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7198,no,85,-1000
2025-05-22T17:26:17.104604,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7199,no,83,-1250
2025-05-22T17:26:17.166233,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7200,no,84,-250
2025-05-22T17:26:17.166822,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7201,no,74,250
2025-05-22T17:26:17.184052,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7202,no,82,-250
2025-05-22T17:26:17.184576,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7203,no,72,250
2025-05-22T17:26:17.205041,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7204,yes,9,1250
2025-05-22T17:26:17.205641,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7205,yes,8,2000
2025-05-22T17:26:17.225686,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7206,yes,11,1000
2025-05-22T17:26:17.226341,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7207,no,82,1250
2025-05-22T17:26:17.226867,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7208,no,81,2000
2025-05-22T17:26:17.227336,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7209,no,84,1000
2025-05-22T17:26:17.227828,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7210,no,82,500
2025-05-22T17:26:17.285736,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7211,no,82,-1250
2025-05-22T17:26:17.324809,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7212,no,82,1250
2025-05-22T17:26:17.365490,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7213,yes,9,100
2025-05-22T17:26:17.384627,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7214,no,83,100
2025-05-22T17:26:17.404221,KXBTCD-25MAY2221-T111999.99,DELTA,11,1140,13,32,7215,no,82,250
2025-05-22T17:26:17.404392,KXBTCD-25MAY2221-T111999.99,DELTA,11,1000,13,32,7216,yes,11,-140
2025-05-22T17:26:17.425566,KXBTCD-25MAY2221-T111999.99,DELTA,11,1000,13,32,7217,no,72,-250
2025-05-22T17:26:17.485012,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7218,yes,12,140
2025-05-22T17:26:17.524031,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7219,yes,11,-1000
2025-05-22T17:26:17.564427,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7220,no,82,-500
2025-05-22T17:26:17.584927,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7221,yes,10,1000
2025-05-22T17:26:17.604960,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7222,no,82,500
2025-05-22T17:26:18.186514,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7223,yes,10,250
2025-05-22T17:26:18.304645,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7224,yes,10,-1000
2025-05-22T17:26:18.344101,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7225,yes,11,1000
2025-05-22T17:26:18.565131,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7226,yes,10,-250
2025-05-22T17:26:18.625422,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7227,yes,11,-1000
2025-05-22T17:26:18.705977,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7228,yes,10,1000
2025-05-22T17:26:18.805763,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7229,yes,8,-2000
2025-05-22T17:26:18.825439,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7230,yes,9,-1250
2025-05-22T17:26:18.826185,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7231,no,81,-2000
2025-05-22T17:26:18.844930,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7232,no,82,-1250
2025-05-22T17:26:18.884085,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7233,yes,9,-100
2025-05-22T17:26:18.949411,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7234,no,83,1250
2025-05-22T17:26:18.949836,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7235,no,82,2000
2025-05-22T17:26:18.950212,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7236,yes,8,1250
2025-05-22T17:26:18.964900,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7237,yes,10,-1000
2025-05-22T17:26:18.965400,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7238,yes,7,2000
2025-05-22T17:26:19.005084,KXBTCD-25MAY2221-T111999.99,DELTA,12,140,13,32,7239,yes,9,1000
2025-05-22T17:26:19.146455,KXBTCD-25MAY2221-T111999.99,DELTA,9,1000,13,32,7240,yes,12,-140
2025-05-22T17:26:19.165936,KXBTCD-25MAY2221-T111999.99,DELTA,9,1000,13,32,7241,no,84,250
2025-05-22T17:26:19.185070,KXBTCD-25MAY2221-T111999.99,DELTA,9,1000,13,32,7242,no,74,-250
2025-05-22T17:26:19.244362,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7243,yes,11,140
2025-05-22T17:26:19.244560,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7244,no,84,-1000
2025-05-22T17:26:19.284758,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7245,no,85,1000
2025-05-22T17:26:21.226188,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7246,yes,9,100
2025-05-22T17:26:21.304955,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7247,yes,9,-1000
2025-05-22T17:26:21.364258,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7248,yes,10,1000
2025-05-22T17:26:27.584825,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7249,no,83,-100
2025-05-22T17:26:28.823915,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7250,no,83,100
2025-05-22T17:26:29.484947,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7251,no,83,-100
2025-05-22T17:26:31.165947,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7252,no,84,100
2025-05-22T17:26:37.003742,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7253,yes,7,-2000
2025-05-22T17:26:37.004175,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7254,yes,10,-1000
2025-05-22T17:26:37.025969,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7255,yes,8,-1250
2025-05-22T17:26:37.026095,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7256,no,82,-2000
2025-05-22T17:26:37.043720,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7257,no,85,-1000
2025-05-22T17:26:37.043811,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7258,no,83,-1250
2025-05-22T17:26:37.104902,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7259,yes,7,2000
2025-05-22T17:26:37.105083,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7260,yes,10,1000
2025-05-22T17:26:37.105160,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7261,no,83,1250
2025-05-22T17:26:37.105224,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7262,yes,8,1250
2025-05-22T17:26:37.105284,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7263,no,85,1000
2025-05-22T17:26:37.105340,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7264,no,82,2000
2025-05-22T17:26:39.864066,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7265,yes,7,-2000
2025-05-22T17:26:39.884997,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7266,yes,10,-1000
2025-05-22T17:26:39.885534,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7267,yes,8,-1250
2025-05-22T17:26:39.905069,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7268,no,82,-2000
2025-05-22T17:26:39.905293,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7269,no,85,-1000
2025-05-22T17:26:39.924677,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7270,no,83,-1250
2025-05-22T17:26:39.964512,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7271,no,82,2000
2025-05-22T17:26:39.964618,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7272,yes,10,1000
2025-05-22T17:26:39.964692,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7273,no,83,1250
2025-05-22T17:26:39.964755,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7274,yes,7,2000
2025-05-22T17:26:39.987164,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7275,no,85,1000
2025-05-22T17:26:39.987262,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7276,yes,8,1250
2025-05-22T17:26:40.884393,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7277,yes,7,-500
2025-05-22T17:26:40.916153,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7278,yes,6,500
2025-05-22T17:26:41.596569,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7279,yes,9,-100
2025-05-22T17:26:41.625827,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7280,yes,10,-1000
2025-05-22T17:26:41.684900,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7281,yes,9,1000
2025-05-22T17:26:41.784819,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7282,no,84,-100
2025-05-22T17:26:43.127614,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7283,yes,7,100
2025-05-22T17:26:43.540361,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7284,no,82,-500
2025-05-22T17:26:43.540703,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7285,no,84,500
2025-05-22T17:26:44.305103,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7286,no,85,100
2025-05-22T17:26:44.344633,KXBTCD-25MAY2221-T111999.99,DELTA,11,140,13,32,7287,yes,7,-2000
