reception_timestamp_utc,kline_start_time_ms,kline_close_time_ms,symbol,interval,open_price,close_price,high_price,low_price,base_asset_volume,number_of_trades,is_kline_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,stream_name
2025-05-20T21:16:40.071866Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106594.23000000,106594.23000000,106550.15000000,3.49612000,1819,False,372594.40765520,2.50269000,266722.42090230,btcusdt@kline_1m
2025-05-20T21:16:42.068819Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106594.22000000,106594.23000000,106550.15000000,3.50811000,1825,False,373872.47236190,2.50358000,266817.28976700,btcusdt@kline_1m
2025-05-20T21:16:44.065752Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106594.22000000,106594.23000000,106550.15000000,3.57451000,1831,False,380950.32922190,2.56878000,273767.23356300,btcusdt@kline_1m
2025-05-20T21:16:46.061848Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106594.23000000,106594.23000000,106550.15000000,3.72564000,1854,False,397059.91515130,2.71486000,289338.51868140,btcusdt@kline_1m
2025-05-20T21:16:48.064539Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106594.22000000,106594.23000000,106550.15000000,3.90234000,1860,False,415895.11382970,2.71530000,289385.42014260,btcusdt@kline_1m
2025-05-20T21:16:50.084527Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106594.23000000,106594.23000000,106550.15000000,3.97728000,1890,False,423883.28539770,2.78742000,297072.99601020,btcusdt@kline_1m
2025-05-20T21:16:52.067598Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106594.23000000,106594.23000000,106550.15000000,3.98899000,1907,False,425131.50374830,2.79086000,297439.68016140,btcusdt@kline_1m
2025-05-20T21:16:54.077373Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106594.23000000,106594.23000000,106550.15000000,4.01837000,1915,False,428263.24222420,2.82009000,300555.42950430,btcusdt@kline_1m
2025-05-20T21:16:56.061280Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106615.05000000,106615.05000000,106550.15000000,4.65843000,2399,False,496498.56816290,3.22662000,343893.43535900,btcusdt@kline_1m
2025-05-20T21:16:58.066390Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106635.82000000,106635.82000000,106550.15000000,5.29351000,3140,False,564213.15659910,3.85677000,411082.40114080,btcusdt@kline_1m
2025-05-20T21:17:00.066659Z,1747775760000,1747775819999,BTCUSDT,1m,106574.98000000,106647.88000000,106647.88000000,106550.15000000,5.82322000,3853,True,620701.07063860,4.38387000,467291.97183740,btcusdt@kline_1m
2025-05-20T21:17:00.067821Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106647.88000000,106647.88000000,106647.88000000,0.00000000,0,False,0.00000000,0.00000000,0.00000000,btcusdt@kline_1m
2025-05-20T21:17:02.061260Z,1747775820000,1747775879999,BTCUSDT,1m,106647.88000000,106665.73000000,106665.73000000,106641.28000000,2.64939000,521,False,282551.94285070,0.89817000,95791.09420300,btcusdt@kline_1m
